,Fructose,Sucrose,Glucose
0,2.0032,2.0,2.0
1,2.0032,2.0,20.0
2,20.032,2.0,2.0
3,2.0032,20.0,2.0
4,20.032,2.0,20.0
5,20.032,20.0,2.0
6,2.0032,20.0,20.0
7,20.032,20.0,20.0
8,2.0,1.984,2.014
9,2.0,1.984,20.14
10,20.0,1.984,2.014
11,2.0,19.84,2.014
12,2.0,19.84,20.14
13,20.0,1.984,20.14
14,20.0,19.84,2.014
15,20.0,19.84,20.14
16,2.0,2.0,2.0
17,2.0,2.0,20.0
18,20.0,2.0,2.0
19,2.0,20.0,2.0
20,20.0,2.0,20.0
21,2.0,20.0,20.0
22,20.0,20.0,2.0
23,20.0,20.0,20.0
24,2.012,1.993,2.0048
25,2.012,1.993,20.048
26,20.12,1.993,2.0048
27,2.012,19.928,2.0048
28,20.12,1.993,20.048
29,2.012,19.928,20.048
30,20.12,19.928,2.0048
31,20.12,19.928,20.048
